,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
21,Phoenix Suns,68,16470,.457,13.2,.665,.297,.160,.113,.096,.335,.521,.654,.415,.432,.394,.329,.528,.068,363,.265,841,.824,.178,.356,4,0
22,Indiana Pacers,67,16105,.477,13.1,.705,.306,.158,.085,.156,.295,.519,.653,.404,.433,.420,.376,.556,.036,192,.311,1036,.864,.172,.447,3,0
23,Sacramento Kings,65,15650,.462,13.1,.677,.282,.190,.099,.106,.323,.504,.672,.360,.413,.399,.375,.510,.064,345,.275,876,.826,.122,.391,3,0
24,Minnesota Timberwolves,67,16205,.456,13.0,.688,.289,.181,.101,.116,.312,.504,.658,.394,.407,.375,.351,.504,.046,263,.290,969,.852,.140,.396,4,0
25,Denver Nuggets,65,15650,.467,12.9,.654,.285,.204,.097,.068,.346,.526,.668,.412,.438,.404,.355,.568,.056,292,.277,888,.891,.118,.394,3,1
26,Oklahoma City Thunder,66,15990,.457,12.8,.663,.345,.130,.104,.084,.337,.514,.640,.366,.375,.403,.346,.446,.069,377,.299,994,.810,.166,.366,1,0
27,Chicago Bulls,68,16520,.454,12.7,.695,.305,.181,.105,.104,.305,.498,.632,.402,.387,.381,.353,.472,.054,288,.288,904,.833,.142,.389,3,0
28,Los Angeles Lakers,66,15940,.474,12.6,.663,.344,.160,.079,.080,.337,.546,.687,.383,.389,.422,.333,.528,.081,444,.310,1035,.796,.139,.361,3,0
29,Los Angeles Clippers,67,16205,.468,12.5,.709,.304,.188,.114,.103,.291,.503,.636,.404,.415,.390,.382,.485,.062,323,.283,862,.846,.137,.446,7,1
30,New Orleans Pelicans,69,16560,.476,12.3,.682,.317,.198,.099,.068,.318,.536,.672,.436,.437,.336,.348,.541,.052,300,.318,1173,.867,.144,.322,1,0
,League Average,66,16117,.460,13.5,.643,.292,.162,.097,.093,.357,.519,.658,.399,.412,.402,.354,.511,.058,307,.279,906,.825,.149,.380,3.1,0.2
